,도시_번호,성별,생일
1,10,M,1988-10-19
2,121,F,1989-07-07
3,116,M,1988-05-31
4,23,F,1992-09-18
5,90,M,1982-05-17
6,109,M,1986-06-15
7,112,M,1986-08-22
8,36,M,1988-03-03
9,26,M,1985-03-25
10,10,M,1985-07-21
11,10,F,1991-06-04
12,96,F,1989-10-20
13,101,F,1992-12-05
14,17,F,1986-08-13
15,7,M,1985-03-25
16,33,F,1991-08-08
17,37,F,1989-10-20
18,40,F,1994-12-19
19,36,F,1991-02-19
20,54,M,1984-11-20
21,33,M,1987-05-29
22,91,F,1991-04-09
23,8,F,1995-12-10
24,5,M,1989-09-07
25,120,F,1991-08-20
26,96,F,1993-03-24
27,82,M,1988-08-05
28,55,M,1986-05-09
29,70,F,1990-11-13
30,43,F,1991-12-02
31,121,F,1991-08-30
32,17,F,1991-08-30
33,118,F,1991-09-01
34,61,F,1994-10-31
35,66,M,1987-06-27
36,46,F,1994-12-12
37,124,F,1987-07-19
38,92,M,1986-01-04
39,63,F,1983-10-15
40,80,M,1989-09-23
41,2,M,1994-03-03
42,73,M,1983-11-11
43,61,M,1982-01-01
44,37,F,1995-11-25
45,24,M,1984-09-14
46,5,F,1993-02-05
47,7,M,1984-11-20
48,74,F,1992-02-12
49,88,F,1991-01-03
50,7,F,1992-06-18
51,30,M,1989-02-14
52,50,F,1990-07-11
53,85,M,1986-09-25
54,80,M,1988-11-08
55,23,F,1991-12-16
56,64,F,1993-10-12
57,89,F,1991-08-03
58,45,M,1990-05-15
59,108,F,1991-08-30
60,125,F,2004-08-17
61,48,M,1984-11-20
62,49,M,1989-09-23
63,99,M,1986-04-06
64,110,F,1990-12-17
65,46,M,1989-07-31
66,52,M,1985-01-01
67,13,F,1998-05-22
68,119,M,1986-03-08
69,116,F,1992-04-23
70,110,F,1989-07-07
71,23,M,1983-09-06
72,93,F,1990-02-14
73,11,F,1993-12-22
74,27,F,1995-06-23
75,35,M,1984-09-09
76,90,M,1995-11-16
77,56,F,1989-09-25
78,22,M,1985-01-01
79,105,F,1990-05-26
80,72,F,1991-06-04
81,40,F,1989-04-28
82,22,M,1991-03-08
83,48,M,1983-01-06
84,60,M,1990-12-02
85,102,F,1991-11-11
86,115,M,1989-04-25
87,21,F,1995-04-30
88,18,M,1989-05-22
89,16,F,1991-03-17
90,9,F,1993-09-23
91,39,F,1995-04-06
92,69,M,1988-11-01
93,29,M,1984-05-03
94,98,M,1995-12-28
95,89,F,1994-08-08
96,116,M,1985-05-17
