,도시_번호,성별,생일
1,16,M,1988-10-19
2,58,F,1989-07-07
3,45,M,1988-05-31
4,83,F,1992-09-18
5,78,M,1982-05-17
6,124,M,1986-06-15
7,16,M,1986-08-22
8,11,M,1988-03-03
9,11,M,1985-03-25
10,122,M,1985-07-21
11,60,F,1991-06-04
12,63,F,1989-10-20
13,93,F,1992-12-05
14,75,F,1986-08-13
15,7,M,1985-03-25
16,16,F,1991-08-08
17,86,F,1989-10-20
18,109,F,1994-12-19
19,25,F,1991-02-19
20,19,M,1984-11-20
21,46,M,1987-05-29
22,44,F,1991-04-09
23,12,F,1995-12-10
24,84,M,1989-09-07
25,61,F,1991-08-20
26,88,F,1993-03-24
27,11,M,1988-08-05
28,64,M,1986-05-09
29,81,F,1990-11-13
30,12,F,1991-12-02
31,47,F,1991-08-30
32,123,F,1991-08-30
33,106,F,1991-09-01
34,38,F,1994-10-31
35,6,M,1987-06-27
36,49,F,1994-12-12
37,28,F,1987-07-19
38,53,M,1986-01-04
39,107,F,1983-10-15
40,81,M,1989-09-23
41,117,M,1994-03-03
42,89,M,1983-11-11
43,123,M,1982-01-01
44,47,F,1995-11-25
45,123,M,1984-09-14
46,11,F,1993-02-05
47,106,M,1984-11-20
48,60,F,1992-02-12
49,9,F,1991-01-03
50,72,F,1992-06-18
51,70,M,1989-02-14
52,98,F,1990-07-11
53,118,M,1986-09-25
54,60,M,1988-11-08
55,54,F,1991-12-16
56,43,F,1993-10-12
57,48,F,1991-08-03
58,6,M,1990-05-15
59,10,F,1991-08-30
60,46,F,2004-08-17
61,22,M,1984-11-20
62,54,M,1989-09-23
63,74,M,1986-04-06
64,75,F,1990-12-17
65,105,M,1989-07-31
66,62,M,1985-01-01
67,5,F,1998-05-22
68,119,M,1986-03-08
69,124,F,1992-04-23
70,49,F,1989-07-07
71,2,M,1983-09-06
72,102,F,1990-02-14
73,11,F,1993-12-22
74,120,F,1995-06-23
75,81,M,1984-09-09
76,82,M,1995-11-16
77,93,F,1989-09-25
78,47,M,1985-01-01
79,42,F,1990-05-26
80,65,F,1991-06-04
81,18,F,1989-04-28
82,101,M,1991-03-08
83,110,M,1983-01-06
84,7,M,1990-12-02
85,61,F,1991-11-11
86,46,M,1989-04-25
87,79,F,1995-04-30
88,92,M,1989-05-22
89,38,F,1991-03-17
90,104,F,1993-09-23
91,66,F,1995-04-06
92,1,M,1988-11-01
93,106,M,1984-05-03
94,105,M,1995-12-28
95,29,F,1994-08-08
96,66,M,1985-05-17
97,92,F,1991-10-22
98,3,M,1987-03-05
99,34,F,1990-08-22
100,116,M,1988-11-08
101,10,F,1992-12-05
102,46,F,1987-02-02
103,101,F,1993-03-24
104,119,F,1990-02-26
105,5,M,1986-08-22
106,74,F,1994-12-19
107,59,F,2004-08-17
108,61,F,1993-12-12
109,119,F,1983-05-02
110,17,F,1990-03-15
111,24,F,1994-02-26
112,16,F,1993-02-21
113,49,F,1991-08-31
114,51,F,1991-08-20
115,31,F,1994-09-05
116,66,F,1995-06-30
117,61,F,1995-06-11
118,5,F,1993-06-06
119,93,F,1992-06-06
120,30,F,1991-02-19
121,86,M,1989-05-22
122,48,F,1987-02-02
123,123,M,1982-11-11
124,64,M,1981-03-27
125,18,F,1992-02-12
126,107,F,1992-07-21
127,19,F,1992-08-18
128,20,F,1992-08-25
129,80,F,1995-11-20
130,51,M,1983-11-23
131,119,F,1993-12-22
132,106,M,1985-07-17
133,109,M,1986-01-13
134,26,F,1995-06-23
135,21,M,1986-07-07
136,66,F,1995-08-05
137,67,M,1983-05-19
138,69,F,1990-06-03
139,37,M,1984-03-13
140,13,M,1981-10-26
141,64,M,1986-01-17
142,8,M,1987-09-26
143,88,F,1990-10-03
144,45,M,1986-11-28
145,48,M,1986-11-28
146,71,M,2010-11-20
147,47,F,1990-10-02
148,23,M,1983-01-06
149,41,M,1986-06-15
150,63,M,1985-01-08
151,122,M,1987-12-12
152,46,M,1984-10-24
153,86,M,1990-12-02
154,106,M,1986-11-03
155,87,M,1988-11-23
156,1,M,1989-05-22
157,111,F,1989-05-07
158,59,M,1985-01-20
159,73,F,1989-04-28
160,66,F,1994-02-02
161,84,F,1991-01-22
162,53,M,1983-01-30
163,89,M,1989-05-22
164,53,M,1984-05-03
165,86,F,1991-02-24
166,82,M,1987-05-10
167,95,F,1991-02-19
168,105,M,1984-05-27
169,104,M,1984-12-14
170,114,M,1997-09-20
171,66,F,1991-06-04
172,113,F,1989-11-01
173,53,F,1992-08-25
174,17,F,1995-12-10
175,107,M,1984-05-03
176,100,M,1980-05-05
177,88,F,1993-01-15
178,33,F,1990-06-03
179,98,F,1992-08-18
180,114,M,1984-07-31
181,58,F,1992-12-31
182,79,F,1992-08-12
183,84,M,1985-02-23
184,36,M,1983-11-23
185,75,M,1983-05-19
186,117,M,1988-11-04
187,52,M,1987-05-29
188,51,F,1992-06-06
189,83,F,1990-10-03
190,73,F,1990-08-08
191,62,F,1991-06-18
192,8,F,2000-06-01
193,125,F,1983-10-15
194,85,M,1994-11-21
195,60,F,1989-04-28
196,84,F,1992-12-12
197,43,F,1994-10-27
198,108,M,1989-03-19
199,90,F,1992-08-01
200,56,M,1986-01-10
201,52,F,1992-02-28
202,61,M,1989-03-03
203,69,F,1992-12-05
204,48,F,1994-08-20
205,118,M,1984-03-06
206,5,M,1988-02-30
207,96,M,1987-11-25
208,35,M,1986-05-24
209,37,M,1986-08-22
210,58,F,1992-10-19
211,59,F,1992-04-04
212,13,F,1994-08-20
213,57,F,1987-04-09
214,42,M,1985-02-18
215,111,M,1988-07-19
216,32,M,1989-09-13
217,109,F,1993-09-23
218,74,F,1992-04-13
219,62,M,1988-08-30
220,119,F,1996-04-09
221,72,F,1991-08-30
222,46,M,1988-07-12
223,93,M,1984-03-15
224,117,F,1990-08-08
225,3,M,1990-03-15
226,74,M,1989-03-12
227,14,M,1984-02-14
228,108,F,1990-04-16
229,60,M,1984-11-04
230,111,M,1985-09-09
231,35,F,1992-04-23
232,71,M,1987-05-29
233,46,M,1986-07-29
234,13,F,1992-10-19
235,75,F,1990-05-21
236,89,M,1982-05-17
237,3,M,1987-11-25
238,112,F,1992-04-13
239,11,F,1990-08-24
240,66,M,1984-11-20
241,67,M,1988-08-30
242,66,F,1989-04-16
243,33,M,1984-10-07
244,27,F,1993-06-28
245,124,M,1988-11-18
246,5,F,1989-02-07
247,32,M,1989-09-13
248,23,M,1983-06-30
249,37,M,1989-03-17
250,70,M,1985-03-22
251,11,F,1989-11-23
252,83,F,1991-02-19
253,50,M,1983-06-30
254,5,F,1992-09-30
255,118,F,1993-02-21
256,63,F,1992-06-18
257,81,F,1990-02-02
258,113,F,1993-03-19
259,59,F,1991-06-27
260,111,M,1984-10-24
